                mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
mu_D0          0.191  0.009   0.174    0.200      0.000    0.000    4351.0    2459.0   1.00
sigma_D0       0.117  0.023   0.076    0.162      0.000    0.000    4420.0    2886.0   1.00
mu_lambda[0]   0.318  0.049   0.223    0.404      0.001    0.001    1275.0    1775.0   1.00
sigma_lambda   0.166  0.036   0.100    0.230      0.001    0.001    1536.0    2110.0   1.00
mu_kappa[0]   -0.069  0.165  -0.384    0.202      0.006    0.004     891.0    1896.0   1.00
sigma_kappa    0.427  0.199   0.111    0.834      0.008    0.004     542.0     461.0   1.01
mu_gamma       0.428  0.023   0.400    0.471      0.001    0.000    1518.0    1953.0   1.00
sigma_gamma    0.028  0.023   0.000    0.070      0.001    0.001    1601.0    2009.0   1.00
sigma_obs     24.620  0.504  23.656   25.528      0.008    0.008    4277.0    3209.0   1.00
tau_obs       17.078  0.938  15.448   19.020      0.014    0.014    4289.0    3114.0   1.00
