                mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
mu_D0          0.191  0.009   0.173    0.200      0.000    0.000    3074.0    1973.0   1.00
sigma_D0       0.122  0.024   0.078    0.166      0.000    0.000    3283.0    2608.0   1.00
mu_lambda[0]   0.417  0.047   0.331    0.504      0.002    0.001     822.0    1503.0   1.01
sigma_lambda   0.162  0.035   0.099    0.224      0.001    0.001    1081.0    1886.0   1.00
mu_kappa[0]    0.150  0.197  -0.279    0.419      0.009    0.007     482.0    1025.0   1.01
sigma_kappa    0.335  0.253   0.000    0.822      0.013    0.007     335.0     600.0   1.01
mu_gamma       0.420  0.016   0.400    0.448      0.000    0.000    2601.0    1823.0   1.00
sigma_gamma    0.026  0.021   0.000    0.063      0.000    0.000    1705.0    1987.0   1.00
sigma_obs     27.070  0.515  26.114   28.042      0.009    0.008    3477.0    2909.0   1.00
tau_obs       19.077  0.975  17.305   20.977      0.017    0.014    3380.0    3266.0   1.00
