                mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
mu_D0          0.191  0.009   0.174    0.200      0.000    0.000    3565.0    2436.0    1.0
sigma_D0       0.109  0.023   0.066    0.153      0.000    0.000    3398.0    2761.0    1.0
mu_lambda[0]   0.370  0.042   0.288    0.444      0.001    0.001    1247.0    1682.0    1.0
sigma_lambda   0.143  0.033   0.086    0.203      0.001    0.001    1370.0    2076.0    1.0
mu_kappa[0]   -0.327  0.200  -0.713    0.033      0.006    0.004    1252.0    1695.0    1.0
sigma_kappa    0.732  0.179   0.402    1.062      0.005    0.003    1479.0    2003.0    1.0
mu_gamma       0.422  0.016   0.400    0.450      0.000    0.000    2555.0    1707.0    1.0
sigma_gamma    0.025  0.020   0.000    0.059      0.000    0.000    1712.0    1830.0    1.0
sigma_obs     20.792  0.408  19.989   21.506      0.007    0.006    3732.0    2916.0    1.0
tau_obs       12.606  0.781  11.127   14.067      0.013    0.012    3788.0    2921.0    1.0
